Date,score,sentiment
2023-05-29,4195,neutral
2023-05-30,398,neutral
2023-05-31,19,positive
2023-06-01,5,positive
2023-06-02,2,positive
2023-06-03,1,neutral
2023-06-04,1,positive
2023-06-18,1,neutral
2023-06-20,253,positive
2023-06-21,15,positive
2023-07-02,1385,positive
2023-07-03,101,positive
2023-07-04,11,positive
2023-07-05,11,positive
2023-07-09,1,neutral
2023-07-14,1,negative
2023-08-14,946,positive
2023-08-15,35,negative
2023-08-16,7,positive
2023-08-30,2,positive
2023-09-08,1188,positive
2023-09-09,2363,positive
2023-09-10,24,neutral
2023-09-11,6,negative
2023-09-12,1,neutral
2023-10-12,1,positive
2023-11-13,2068,neutral
2023-11-14,163,neutral
2023-11-15,4,positive
2023-11-16,1,positive
2023-11-17,6,positive
2023-11-18,2,neutral
2023-11-20,1,positive
2023-12-09,1,neutral
2023-12-13,1,positive
2023-12-22,2844,positive
2023-12-23,458,positive
2023-12-24,12,positive
2023-12-25,231,negative
2023-12-26,45,positive
2023-12-27,16,positive
2023-12-28,3,neutral
2023-12-29,5,negative
2023-12-30,154,positive
2023-12-31,76,neutral
2024-01-01,4,positive
2024-01-02,4,positive
2024-01-04,2,positive
2024-01-05,1,neutral
2024-01-08,1795,positive
2024-01-09,1816,positive
2024-01-10,217,positive
2024-01-11,66,positive
2024-01-12,17,neutral
2024-01-13,6,positive
2024-01-14,7,positive
2024-01-15,2,positive
2024-01-16,1,positive
2024-01-19,1,neutral
2024-02-05,1,neutral
2024-02-08,1,positive
2024-02-11,186,negative
2024-02-12,153,neutral
2024-02-13,194,positive
2024-02-14,2172,neutral
2024-02-15,5,neutral
2024-02-16,5,positive
2024-02-18,444,positive
2024-02-19,72,positive
2024-02-20,4,neutral
2024-02-21,610,neutral
2024-02-22,151,positive
2024-02-23,136,positive
2024-02-24,38,negative
2024-02-25,4,positive
2024-02-27,1,neutral
2024-02-29,1,negative
2024-03-03,2,neutral
2024-03-04,31,positive
2024-03-05,60,positive
2024-03-06,9337,neutral
2024-03-07,1122,positive
2024-03-08,760,positive
2024-03-09,156,positive
2024-03-10,20,neutral
2024-03-11,10,neutral
2024-03-12,12,neutral
2024-03-13,192,positive
2024-03-14,182,positive
2024-03-15,9,neutral
2024-03-16,4,positive
2024-03-18,1,positive
2024-03-19,57,neutral
2024-03-20,18,positive
2024-03-21,8,neutral
2024-03-22,3,positive
2024-03-23,4,neutral
2024-03-24,1,neutral
2024-03-25,4,positive
2024-03-29,5,positive
2024-03-31,3,positive
2024-04-01,1,negative
2024-04-08,1,neutral
2024-04-10,2,negative
2024-04-11,9,positive
2024-04-12,3,negative
2024-04-13,1,positive
2024-04-17,1,neutral
2024-04-19,4,positive
2024-04-20,32,neutral
2024-04-21,3,neutral
2024-04-22,4,neutral
2024-04-23,3,positive
2024-04-24,2,negative
2024-04-29,1,positive
2024-05-07,1,positive
2024-05-09,2,neutral
2024-05-12,1,positive
2024-05-13,6,neutral
2024-05-15,3,positive
2024-05-16,1,neutral
2024-05-17,1,neutral
2024-05-19,45,neutral
2024-05-22,325,positive
2024-05-23,631,neutral
2024-05-24,127,neutral
2024-05-25,35,positive
2024-05-26,208,neutral
2024-05-27,122,positive
2024-05-28,572,positive
2024-05-29,265,positive
2024-05-30,32,positive
2024-05-31,11,positive
2024-06-01,9,negative
2024-06-02,3,positive
2024-06-03,5,neutral
2024-06-04,5,neutral
2024-06-05,20,negative
2024-06-06,675,positive
2024-06-07,29,positive
2024-06-08,10,positive
2024-06-09,645,positive
2024-06-10,624,positive
2024-06-11,78,positive
2024-06-12,5,positive
2024-06-13,107,positive
2024-06-14,8,positive
2024-06-15,3,positive
2024-06-16,362,negative
2024-06-17,313,positive
2024-06-18,639,neutral
2024-06-19,960,positive
2024-06-20,260,positive
2024-06-21,4999,neutral
2024-06-22,45,positive
2024-06-23,18,positive
