Date,score,sentiment
2023-01-03,3,neutral
2023-01-04,1,positive
2023-01-05,8,neutral
2023-01-06,9,neutral
2023-01-07,2,neutral
2023-01-08,2,neutral
2023-01-10,303,neutral
2023-01-11,222,neutral
2023-01-12,9,neutral
2023-01-13,4,positive
2023-01-14,4,neutral
2023-01-15,1,neutral
2023-01-16,1,neutral
2023-01-17,8,neutral
2023-01-19,2,neutral
2023-01-20,2,neutral
2023-01-21,1,neutral
2023-01-22,2,neutral
2023-01-24,2,neutral
2023-01-25,2,neutral
2023-01-26,1,positive
2023-01-27,4,neutral
2023-01-29,4,neutral
2023-01-30,1,positive
2023-01-31,2,positive
2023-02-01,229,neutral
2023-02-02,367,neutral
2023-02-03,14,neutral
2023-02-04,6,positive
2023-02-06,6,neutral
2023-02-07,1,neutral
2023-02-08,3,positive
2023-02-09,5,neutral
2023-02-10,6,neutral
2023-02-11,7,neutral
2023-02-12,1,positive
2023-02-13,1,neutral
2023-02-14,5,neutral
2023-02-15,3,neutral
2023-02-16,7,neutral
2023-02-17,2,negative
2023-02-18,1,positive
2023-02-20,8,negative
2023-02-21,6,negative
2023-02-22,4,neutral
2023-02-23,2,neutral
2023-02-25,1,positive
2023-02-26,2,positive
2023-02-28,5,neutral
2023-03-02,2,neutral
2023-03-04,1,neutral
2023-03-06,1,positive
2023-03-09,3,neutral
2023-03-13,1,positive
2023-03-16,126,neutral
2023-03-17,80,neutral
2023-03-18,9,neutral
2023-03-19,2,neutral
2023-03-21,2,neutral
2023-03-24,3,positive
2023-03-25,5,neutral
2023-03-26,1,neutral
2023-03-27,2,neutral
2023-03-28,1,positive
2023-03-30,2,neutral
2023-03-31,6,neutral
2023-04-03,12,neutral
2023-04-04,1,positive
2023-04-05,1,positive
2023-04-06,8,neutral
2023-04-07,2,neutral
2023-04-08,1,neutral
2023-04-09,1,neutral
2023-04-10,8,neutral
2023-04-12,85,negative
2023-04-13,748,neutral
2023-04-14,4,neutral
2023-04-15,1,neutral
2023-04-16,430,neutral
2023-04-17,928,neutral
2023-04-18,718,neutral
2023-04-19,26,neutral
2023-04-20,1,positive
2023-04-21,1,positive
2023-04-22,3,positive
2023-04-25,4,neutral
2023-05-01,1,neutral
2023-05-02,598,neutral
2023-05-03,49,neutral
2023-05-04,33,neutral
2023-05-05,11,neutral
2023-05-06,9,neutral
2023-05-07,7,positive
2023-05-08,13,positive
2023-05-09,2,neutral
2023-05-10,6,positive
2023-05-11,1,positive
2023-05-13,6,neutral
2023-05-14,6,positive
2023-05-15,2,positive
2023-05-16,30,positive
2023-05-17,25,positive
2023-05-18,254,neutral
2023-05-19,147,neutral
2023-05-20,17,neutral
2023-05-21,625,neutral
2023-05-22,450,neutral
2023-05-23,369,neutral
2023-05-24,41,positive
2023-05-25,26,positive
2023-05-26,533,neutral
2023-05-27,49,neutral
2023-05-28,5,neutral
2023-05-29,28,neutral
2023-05-30,301,neutral
2023-05-31,115,neutral
2023-06-01,8,neutral
2023-06-02,304,neutral
2023-06-03,19,neutral
2023-06-04,1,positive
2023-06-05,1,neutral
2023-06-06,1,neutral
2023-06-09,2,neutral
2023-07-13,1,negative
2023-07-15,1,positive
2023-07-21,84,neutral
2023-07-22,81,neutral
2023-07-23,1,neutral
2023-07-26,1,neutral
2023-07-31,3,neutral
2023-08-01,2,negative
2023-08-04,1,negative
2023-08-05,1,negative
2023-08-09,1,negative
2023-08-11,1,negative
2023-08-12,1,neutral
2023-08-16,162,neutral
2023-08-17,6,neutral
2023-08-18,133,neutral
2023-08-19,59,positive
2023-08-20,5,neutral
2023-08-21,1,positive
2023-08-22,1,neutral
2023-08-23,2,neutral
2023-08-24,1,neutral
2023-08-28,548,neutral
2023-08-29,281,neutral
2023-08-30,292,neutral
2023-08-31,1307,neutral
2023-09-01,18,neutral
2023-09-02,6,neutral
2023-09-03,1,positive
2023-09-04,1,neutral
2023-09-05,1,negative
2023-09-06,5,neutral
2023-09-07,3,positive
2023-09-11,1,neutral
2023-09-12,3,neutral
2023-09-17,15,positive
2023-09-18,243,positive
2023-09-19,29,positive
2023-09-20,4,positive
2023-09-23,1,positive
2023-09-25,2,positive
2023-09-27,497,neutral
2023-09-28,11,neutral
2023-09-29,6,neutral
2023-09-30,2,positive
2023-10-01,3,negative
2023-10-04,2,neutral
2023-10-06,1,neutral
2023-10-12,2,neutral
2023-10-15,2,neutral
2023-10-19,433,neutral
2023-10-20,274,neutral
2023-10-21,30,neutral
2023-10-22,1,positive
2023-10-25,1,neutral
2023-10-26,2,neutral
2023-10-27,1,positive
2023-10-28,2,negative
2023-11-06,2954,neutral
2023-11-07,2421,neutral
2023-11-08,139,neutral
2023-11-09,828,neutral
2023-11-10,274,neutral
2023-11-11,64,positive
2023-11-12,43,neutral
2023-11-13,9,positive
2023-11-14,9,positive
2023-11-15,605,neutral
2023-11-16,9,neutral
2023-11-17,7950,neutral
2023-11-18,6895,neutral
2023-11-19,1350,neutral
2023-11-20,5274,neutral
2023-11-21,6009,neutral
2023-11-22,5161,neutral
2023-11-23,995,neutral
2023-11-24,25,neutral
2023-11-25,6,neutral
2023-11-27,87,neutral
2023-11-28,4,neutral
2023-11-29,1,neutral
2023-11-30,355,neutral
2023-12-01,626,neutral
2023-12-02,8,neutral
2023-12-03,1612,neutral
2023-12-04,119,neutral
2023-12-05,10,neutral
2023-12-06,504,neutral
2023-12-07,3,positive
2023-12-08,744,neutral
2023-12-09,1740,neutral
2023-12-10,17,neutral
2023-12-11,14,neutral
2023-12-12,145,neutral
2023-12-13,12,positive
2023-12-14,0,neutral
2023-12-16,1071,neutral
2023-12-17,53,neutral
2023-12-18,10,neutral
2023-12-19,3,neutral
2023-12-21,402,neutral
2023-12-22,81,neutral
2023-12-23,1393,neutral
2023-12-24,516,neutral
2023-12-25,9,neutral
2023-12-26,11,neutral
2023-12-27,1787,neutral
2023-12-28,113,neutral
2023-12-29,10,positive
2023-12-30,663,neutral
2023-12-31,11,neutral
2024-01-01,849,neutral
2024-01-02,26,neutral
2024-01-03,7,neutral
2024-01-04,8,neutral
2024-01-05,1846,neutral
2024-01-06,218,neutral
2024-01-07,49,neutral
2024-01-08,1026,neutral
2024-01-09,296,neutral
2024-01-10,14,neutral
2024-01-11,451,neutral
2024-01-12,1336,neutral
2024-01-13,84,neutral
2024-01-14,18,neutral
2024-01-15,527,neutral
2024-01-16,201,neutral
2024-01-17,1,neutral
2024-01-18,4,neutral
2024-01-19,752,neutral
2024-01-20,459,neutral
2024-01-21,8,neutral
2024-01-23,5,neutral
2024-01-25,321,neutral
2024-01-26,241,neutral
2024-01-27,5,neutral
2024-01-28,2,neutral
2024-01-29,8,positive
2024-01-30,7,positive
2024-02-01,3,neutral
2024-02-05,2,positive
2024-02-12,1,neutral
2024-02-13,299,neutral
2024-02-14,1138,neutral
2024-02-15,5223,neutral
2024-02-16,1896,neutral
2024-02-17,3007,neutral
2024-02-18,239,neutral
2024-02-19,42,neutral
2024-02-20,616,neutral
2024-02-21,1985,neutral
2024-02-22,2233,neutral
2024-02-23,214,neutral
2024-02-24,55,neutral
2024-02-25,171,neutral
2024-02-26,44,neutral
2024-02-27,1161,neutral
2024-02-28,571,neutral
2024-02-29,322,neutral
2024-03-01,4628,neutral
2024-03-02,1162,neutral
2024-03-03,131,neutral
2024-03-04,1383,neutral
2024-03-05,18,neutral
2024-03-06,4805,neutral
2024-03-07,558,neutral
2024-03-08,1766,neutral
2024-03-09,107,neutral
2024-03-10,79,neutral
2024-03-11,877,neutral
2024-03-12,214,neutral
2024-03-13,3942,neutral
2024-03-14,184,neutral
2024-03-15,18,neutral
2024-03-16,1093,neutral
2024-03-17,13,neutral
2024-03-18,4,neutral
2024-03-19,3,neutral
2024-03-20,739,neutral
2024-03-21,39,neutral
2024-03-22,2,neutral
2024-03-23,243,neutral
2024-03-24,15,neutral
2024-03-25,7333,neutral
2024-03-26,303,neutral
2024-03-27,37,neutral
2024-03-28,10,neutral
2024-03-29,197,neutral
2024-03-30,2582,neutral
2024-03-31,1089,neutral
2024-04-01,906,neutral
2024-04-02,957,neutral
2024-04-03,13,neutral
2024-04-04,4,neutral
2024-04-05,2600,neutral
2024-04-06,183,neutral
2024-04-07,1705,neutral
2024-04-08,26,neutral
2024-04-10,947,neutral
2024-04-11,3,positive
2024-04-12,802,neutral
2024-04-13,3,neutral
2024-04-14,562,neutral
2024-04-15,33,neutral
2024-04-16,71,positive
2024-04-17,1,positive
2024-04-19,2,neutral
2024-04-20,1,neutral
